host_response_rate,host_is_superhost,host_listings_count,zipcode,room_type,bathrooms,accommodates,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month
N/A,t,1,28804,Entire home/apt,1,4,3,Real Bed,129.00,150.00,50.00,1.00,0.00,2,14,46,98.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,2.64
N/A,t,1,28715,Entire home/apt,1,6,3,Real Bed,115.00,250.00,50.00,2.00,5.00,2,22,41,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,2.33
100%,f,1,28806,Entire home/apt,1,2,2,Real Bed,60.00,,,1.00,0.00,30,5,2,90.00,10.00,10.00,10.00,10.00,8.00,9.00,flexible,0.76
99%,t,145,28803,Entire home/apt,4,12,4,Real Bed,700.00,1000.00,395.00,10.00,0.00,1,23,9,98.00,10.00,10.00,10.00,10.00,10.00,9.00,super_strict_60,0.93
100%,t,1,28806,Private room,1,2,1,Real Bed,38.00,0.00,25.00,2.00,20.00,1,9,66,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.39
N/A,t,3,28806,Private room,1,4,2,Real Bed,82.00,,,2.00,15.00,1,0,83,97.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,4.58
N/A,f,1,28801,Entire home/apt,2.5,5,2,Real Bed,175.00,,75.00,1.00,0.00,2,1,11,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.65
100%,t,1,28805,Private room,1,2,1,Real Bed,75.00,200.00,20.00,1.00,0.00,1,0,17,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.42
N/A,f,10,28801,Private room,1,2,1,Real Bed,70.00,,,2.00,10.00,1,29,4,85.00,9.00,9.00,8.00,9.00,10.00,8.00,flexible,0.23
N/A,f,10,28801,Private room,1,2,1,Real Bed,70.00,,,2.00,10.00,1,29,4,87.00,10.00,10.00,10.00,9.00,10.00,10.00,flexible,0.23
N/A,f,10,28801,Private room,1,2,1,Real Bed,70.00,,,2.00,10.00,1,22,7,80.00,9.00,9.00,9.00,9.00,9.00,9.00,flexible,0.44
N/A,f,10,28801,Private room,1,2,1,Real Bed,70.00,,,2.00,10.00,1,22,7,86.00,9.00,9.00,10.00,9.00,10.00,9.00,flexible,0.41
N/A,f,10,28801,Private room,1,2,1,Real Bed,70.00,,,2.00,10.00,1,22,5,84.00,8.00,8.00,9.00,9.00,10.00,9.00,flexible,0.29
N/A,t,1,28805,Entire home/apt,1,6,3,Real Bed,198.00,200.00,50.00,6.00,25.00,2,17,43,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.38
100%,t,1,28806,Entire home/apt,1,4,1,Real Bed,80.00,100.00,30.00,2.00,15.00,2,18,90,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.04
100%,t,2,28801,Entire home/apt,1,2,1,Real Bed,90.00,0.00,20.00,1.00,0.00,1,14,106,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,6.53
100%,t,1,28803,Private room,1,2,1,Real Bed,45.00,0.00,20.00,1.00,15.00,2,0,28,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.62
100%,t,2,28806,Entire home/apt,2,5,3,Real Bed,90.00,0.00,40.00,2.00,20.00,3,6,74,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.34
100%,t,1,28806,Private room,1,2,1,Real Bed,72.00,0.00,15.00,2.00,0.00,1,22,71,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.97
100%,t,1,28803,Entire home/apt,1,4,2,Real Bed,128.00,250.00,50.00,4.00,100.00,2,16,67,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.8
100%,t,1,28805,Entire home/apt,1,2,1,Real Bed,92.00,0.00,30.00,1.00,0.00,2,0,47,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.67
N/A,f,10,28801,Private room,1,2,1,Real Bed,70.00,,,2.00,10.00,1,27,11,87.00,9.00,9.00,10.00,10.00,10.00,9.00,flexible,0.89
100%,t,1,28806,Private room,1,4,1,Real Bed,65.00,500.00,20.00,2.00,20.00,1,12,42,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.4
100%,t,2,28803,Entire home/apt,1,2,1,Real Bed,85.00,100.00,25.00,2.00,20.00,1,13,162,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,9.31
N/A,f,10,28801,Private room,1,4,2,Real Bed,70.00,,,2.00,10.00,1,22,26,93.00,9.00,9.00,9.00,9.00,10.00,9.00,flexible,1.49
N/A,f,10,28801,Private room,1,4,2,Real Bed,70.00,,,2.00,10.00,1,22,30,91.00,10.00,10.00,10.00,9.00,10.00,10.00,flexible,1.74
N/A,f,10,28801,Private room,1,4,2,Real Bed,70.00,,,2.00,10.00,1,27,21,84.00,9.00,9.00,10.00,9.00,10.00,9.00,flexible,1.24
100%,t,1,28806,Entire home/apt,1,2,1,Real Bed,90.00,100.00,50.00,1.00,0.00,2,14,73,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.17
100%,t,1,28806,Entire home/apt,1,4,3,Real Bed,145.00,160.00,35.00,2.00,0.00,1,17,103,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.84
100%,t,1,28806,Entire home/apt,1,2,1,Real Bed,95.00,0.00,40.00,1.00,0.00,1,13,74,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,6.53
N/A,t,1,28805,Private room,1,2,1,Real Bed,62.00,300.00,32.00,1.00,0.00,1,24,29,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.72
N/A,t,2,28804,Private room,1,2,1,Real Bed,85.00,0.00,25.00,1.00,0.00,2,1,20,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.22
100%,t,3,28805,Entire home/apt,1,4,2,Real Bed,76.00,175.00,18.00,2.00,18.00,2,0,99,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.86
100%,t,1,28805,Entire home/apt,1,4,3,Real Bed,90.00,100.00,25.00,1.00,0.00,2,0,25,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.44
N/A,f,1,28806,Entire home/apt,1,2,2,Real Bed,74.00,,,1.00,0.00,1,0,1,60.00,10.00,6.00,10.00,10.00,10.00,6.00,flexible,0.06
N/A,t,2,28806,Entire home/apt,1,6,4,Real Bed,250.00,200.00,100.00,6.00,0.00,2,17,48,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.84
N/A,t,2,28715,Private room,1,2,1,Real Bed,69.00,,25.00,1.00,0.00,1,14,30,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.02
99%,t,145,28804,Entire home/apt,3,8,3,Real Bed,"10,000.00",1000.00,375.00,6.00,0.00,1,0,0,,,,,,,,super_strict_60,
N/A,f,1,28801,Private room,1,2,1,Real Bed,65.00,,15.00,2.00,15.00,1,20,99,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,5.77
100%,t,1,28804,Entire home/apt,1,2,1,Real Bed,95.00,0.00,40.00,1.00,0.00,2,9,133,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,7.53
100%,t,1,28806,Private room,1,2,1,Real Bed,80.00,0.00,40.00,1.00,0.00,2,0,17,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.01
100%,t,1,28801,Private room,1,2,1,Real Bed,90.00,0.00,0.00,1.00,10.00,2,0,73,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.14
100%,t,1,28704,Private room,1,4,2,Real Bed,69.00,0.00,20.00,2.00,10.00,2,1,27,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.79
N/A,t,1,28806,Entire home/apt,1,2,1,Real Bed,119.00,0.00,20.00,1.00,0.00,2,0,24,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.42
100%,t,1,28806,Entire home/apt,1,2,1,Real Bed,75.00,0.00,40.00,1.00,0.00,2,7,62,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.53
N/A,t,1,28805,Entire home/apt,1,4,2,Real Bed,79.00,300.00,50.00,2.00,40.00,1,27,22,98.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,1.54
100%,t,1,28806,Entire home/apt,1,3,2,Real Bed,73.00,,40.00,1.00,0.00,1,8,50,96.00,10.00,10.00,10.00,10.00,10.00,9.00,flexible,4.89
100%,f,1,28806,Private room,1,2,1,Real Bed,60.00,,8.00,2.00,20.00,1,0,15,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.86
N/A,t,1,28801,Private room,1.5,2,1,Real Bed,35.00,0.00,15.00,1.00,0.00,1,12,78,96.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,10.22
100%,f,10,28806,Entire home/apt,2,8,4,Real Bed,249.00,300.00,94.00,2.00,30.00,1,13,147,95.00,10.00,9.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,8.93
N/A,t,1,28805,Entire home/apt,1.5,7,5,Real Bed,270.00,200.00,95.00,1.00,0.00,2,12,55,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.25
100%,f,2,28803,Entire home/apt,1,2,1,Real Bed,62.00,,,1.00,0.00,30,15,0,,,,,,,,strict_14_with_grace_period,
100%,t,1,28704,Entire home/apt,4.5,13,8,Real Bed,600.00,500.00,250.00,8.00,25.00,2,17,23,99.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,1.53
N/A,t,1,28805,Entire home/apt,2,8,3,Real Bed,289.00,500.00,150.00,8.00,299.00,1,26,27,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.69
100%,t,4,28805,Private room,1,2,1,Real Bed,55.00,0.00,20.00,1.00,0.00,1,0,24,97.00,10.00,9.00,10.00,10.00,10.00,10.00,flexible,1.41
100%,f,1,28806,Entire home/apt,1,3,1,Real Bed,55.00,,40.00,2.00,10.00,2,16,58,94.00,10.00,9.00,10.00,10.00,9.00,9.00,strict_14_with_grace_period,3.38
100%,t,1,28804,Private room,1,3,2,Real Bed,48.00,0.00,10.00,1.00,0.00,1,5,116,95.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,7.07
N/A,t,2,28801,Private room,1,2,1,Real Bed,99.00,0.00,15.00,1.00,0.00,1,17,80,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.66
99%,f,9,28801,Entire home/apt,1,2,1,Real Bed,105.00,,40.00,1.00,0.00,1,11,80,92.00,10.00,9.00,10.00,10.00,10.00,9.00,flexible,4.67
N/A,f,1,28805,Entire home/apt,1,6,3,Real Bed,149.00,100.00,60.00,4.00,10.00,2,0,12,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.74
N/A,t,4,28805,Private room,1,2,1,Real Bed,125.00,300.00,70.00,1.00,0.00,1,17,1,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.41
N/A,t,1,28704,Entire home/apt,2.5,11,6,Real Bed,200.00,200.00,125.00,1.00,0.00,1,17,68,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.13
100%,t,2,28804,Entire home/apt,2,8,6,Real Bed,125.00,0.00,50.00,4.00,10.00,1,9,197,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,11.61
N/A,f,2,28806,Private room,1,1,1,Real Bed,45.00,,,1.00,0.00,2,0,0,,,,,,,,strict_14_with_grace_period,
100%,f,1,28801,Entire home/apt,1,4,4,Real Bed,109.00,250.00,75.00,4.00,100.00,2,11,28,94.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,2.35
N/A,t,2,28801,Private room,1,3,2,Real Bed,84.00,0.00,25.00,2.00,20.00,1,16,52,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.07
100%,f,2,28804,Entire home/apt,1,6,2,Real Bed,79.00,250.00,50.00,4.00,20.00,2,3,64,93.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,3.86
100%,f,1,28804,Entire home/apt,1,2,1,Real Bed,60.00,0.00,25.00,1.00,0.00,1,10,64,92.00,10.00,9.00,10.00,10.00,10.00,9.00,moderate,3.77
100%,f,1,28806,Entire home/apt,1.5,6,2,Real Bed,79.00,100.00,85.00,2.00,9.00,1,5,49,88.00,9.00,9.00,10.00,10.00,9.00,9.00,strict_14_with_grace_period,2.89
N/A,t,1,28715,Entire home/apt,1,2,1,Real Bed,79.00,250.00,20.00,2.00,20.00,1,15,115,97.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,6.8
100%,f,1,28806,Entire home/apt,2,8,6,Real Bed,250.00,100.00,65.00,4.00,25.00,3,10,8,88.00,9.00,9.00,10.00,9.00,9.00,9.00,strict_14_with_grace_period,0.57
100%,t,1,28805,Entire home/apt,1,8,3,Real Bed,110.00,,,1.00,0.00,2,16,67,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.96
100%,f,1,28801,Entire home/apt,1,2,1,Real Bed,105.00,200.00,50.00,1.00,0.00,3,8,56,94.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,3.41
100%,t,1,28805,Entire home/apt,2.5,12,6,Real Bed,525.00,200.00,200.00,12.00,50.00,2,24,45,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,2.94
N/A,f,1,28806,Entire home/apt,1,3,1,Real Bed,78.00,250.00,0.00,1.00,0.00,3,26,12,96.00,9.00,10.00,10.00,10.00,10.00,10.00,moderate,0.75
100%,t,1,28801,Entire home/apt,1,4,2,Real Bed,125.00,250.00,75.00,4.00,25.00,1,12,82,96.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.98
100%,t,2,28732,Entire home/apt,1,2,1,Real Bed,85.00,0.00,10.00,1.00,0.00,1,18,57,97.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.46
100%,t,1,28806,Entire home/apt,1,4,2,Real Bed,91.00,0.00,50.00,2.00,20.00,1,17,108,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,6.47
100%,t,1,28806,Entire home/apt,1,3,2,Real Bed,65.00,,12.00,3.00,15.00,1,3,82,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,4.98
100%,t,3,28806,Entire home/apt,1,6,4,Real Bed,167.00,300.00,85.00,4.00,15.00,2,16,42,93.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,2.63
100%,f,1,28806,Entire home/apt,2,9,6,Real Bed,80.00,300.00,150.00,1.00,0.00,30,0,3,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.22
N/A,f,1,28806,Entire home/apt,1,4,3,Real Bed,150.00,300.00,50.00,1.00,0.00,30,25,6,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.38
N/A,f,1,28704,Entire home/apt,1.5,6,3,Real Bed,175.00,0.00,100.00,6.00,25.00,2,0,3,100.00,10.00,10.00,9.00,10.00,9.00,9.00,moderate,0.19
N/A,t,1,28806,Entire home/apt,1,4,2,Real Bed,82.00,0.00,35.00,2.00,10.00,1,0,137,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,9.09
100%,f,1,28803,Entire home/apt,2,5,4,Real Bed,300.00,,,1.00,0.00,2,14,29,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.79
N/A,t,2,28805,Entire home/apt,1,4,3,Real Bed,150.00,200.00,75.00,1.00,0.00,2,18,45,98.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,2.78
100%,t,1,28806,Entire home/apt,3.5,10,5,Real Bed,375.00,750.00,175.00,1.00,0.00,3,17,50,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.17
100%,t,2,28806,Entire home/apt,1,3,1,Real Bed,70.00,200.00,30.00,2.00,20.00,2,22,96,96.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,5.83
100%,t,3,28805,Entire home/apt,1,2,1,Real Bed,42.00,500.00,100.00,2.00,50.00,30,3,7,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.47
100%,f,1,28806,Entire home/apt,1,5,3,Real Bed,69.00,300.00,0.00,1.00,0.00,30,0,0,,,,,,,,strict_14_with_grace_period,
N/A,t,1,28806,Private room,1,4,2,Real Bed,65.00,0.00,25.00,2.00,35.00,1,20,28,98.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,1.89
N/A,t,1,28806,Private room,1,2,1,Real Bed,70.00,0.00,50.00,1.00,0.00,2,0,28,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.78
100%,t,12,28801,Entire home/apt,1,2,1,Real Bed,330.00,200.00,0.00,2.00,25.00,2,17,59,99.00,10.00,10.00,10.00,10.00,10.00,10.00,super_strict_60,3.63
90%,t,2,28806,Entire home/apt,1,4,1,Real Bed,110.00,200.00,95.00,2.00,20.00,2,21,18,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.15
100%,t,3,28806,Entire home/apt,1,2,1,Real Bed,95.00,200.00,65.00,2.00,0.00,2,16,44,95.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,2.79
100%,t,1,28806,Entire home/apt,1,3,1,Real Bed,125.00,0.00,50.00,2.00,100.00,1,13,59,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.92
100%,t,1,28704,Entire home/apt,2,6,4,Real Bed,160.00,,0.00,1.00,0.00,3,11,42,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,2.67
100%,t,1,28801,Entire home/apt,1,6,3,Real Bed,200.00,0.00,0.00,1.00,0.00,2,19,54,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.48
100%,f,1,28801,Entire home/apt,1,2,1,Real Bed,110.00,0.00,60.00,1.00,0.00,2,8,17,99.00,10.00,9.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.06
N/A,t,9,28806,Entire home/apt,1,4,1,Real Bed,285.00,,85.00,1.00,0.00,2,9,1,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.12
N/A,f,3,28806,Entire home/apt,2.5,12,7,Real Bed,188.00,0.00,40.00,1.00,0.00,3,0,3,100.00,10.00,9.00,10.00,10.00,10.00,9.00,moderate,0.25
100%,t,2,28804,Entire home/apt,1.5,2,1,Real Bed,175.00,250.00,50.00,2.00,40.00,2,14,16,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.02
100%,f,1,28803,Entire home/apt,1,2,1,Real Bed,90.00,100.00,0.00,1.00,0.00,1,12,144,94.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,9.15
N/A,t,9,28806,Entire home/apt,1,4,1,Real Bed,285.00,0.00,85.00,1.00,0.00,2,9,2,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.17
100%,f,1,28805,Entire home/apt,1,2,1,Real Bed,59.00,0.00,0.00,1.00,0.00,2,12,90,93.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.88
N/A,t,2,28805,Private room,1,2,1,Real Bed,65.00,,20.00,1.00,0.00,1,16,108,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,6.84
100%,f,1,28804,Entire home/apt,1,4,3,Real Bed,95.00,100.00,50.00,4.00,0.00,2,14,68,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.39
N/A,t,1,28803,Entire home/apt,2,5,3,Real Bed,195.00,200.00,125.00,1.00,0.00,3,0,21,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.65
100%,t,1,28806,Entire home/apt,1,4,5,Real Bed,170.00,,,4.00,50.00,3,27,46,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.93
N/A,f,2,28806,Entire home/apt,1,5,3,Real Bed,89.00,125.00,55.00,2.00,12.00,2,15,87,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,5.55
N/A,f,1,28704,Private room,1.5,2,1,Real Bed,38.00,,10.00,1.00,0.00,1,2,80,99.00,10.00,10.00,10.00,10.00,9.00,10.00,flexible,5.06
100%,t,1,28801,Private room,1,4,1,Real Bed,120.00,,,1.00,0.00,2,14,35,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,2.36
100%,t,2,28732,Entire home/apt,1.5,10,9,Real Bed,99.00,250.00,125.00,4.00,10.00,2,17,66,98.00,9.00,10.00,10.00,10.00,9.00,10.00,strict_14_with_grace_period,4.24
N/A,t,1,28806,Entire home/apt,2,4,2,Real Bed,184.00,200.00,85.00,4.00,50.00,2,16,37,96.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,2.35
N/A,f,1,28803,Entire home/apt,3,8,4,Real Bed,225.00,200.00,150.00,1.00,0.00,3,14,21,95.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,1.42
100%,t,1,28804,Entire home/apt,1,2,1,Real Bed,125.00,0.00,35.00,1.00,0.00,2,12,70,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,4.58
99%,f,9,28801,Entire home/apt,1,2,1,Real Bed,100.00,,40.00,1.00,0.00,1,14,66,91.00,9.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,4.21
100%,t,2,28804,Entire home/apt,2,4,2,Real Bed,84.00,500.00,75.00,1.00,0.00,27,0,3,100.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,0.26
100%,t,1,28803,Entire home/apt,1,4,2,Real Bed,75.00,100.00,35.00,2.00,25.00,1,17,71,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.18
N/A,f,2,28806,Entire home/apt,2,5,3,Real Bed,125.00,,60.00,1.00,0.00,3,4,2,100.00,10.00,8.00,10.00,10.00,10.00,10.00,flexible,0.16
75%,f,2,28801,Entire home/apt,1,2,1,Real Bed,179.00,200.00,50.00,2.00,75.00,2,24,0,,,,,,,,flexible,
100%,t,1,28806,Entire home/apt,1,2,1,Real Bed,80.00,100.00,60.00,2.00,25.00,2,1,44,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.86
100%,f,1,28804,Entire home/apt,2,8,4,Real Bed,165.00,200.00,65.00,6.00,10.00,2,19,8,98.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,0.61
100%,f,10,28806,Entire home/apt,2,8,4,Real Bed,259.00,300.00,94.00,2.00,30.00,1,8,129,95.00,10.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,8.64
100%,t,1,28804,Entire home/apt,1,5,3,Real Bed,75.00,150.00,35.00,1.00,15.00,1,11,63,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.47
N/A,t,2,28806,Entire home/apt,1,4,2,Real Bed,75.00,0.00,40.00,2.00,25.00,2,18,47,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.07
N/A,f,1,28806,Entire home/apt,1,6,2,Real Bed,115.00,,65.00,1.00,0.00,1,0,2,90.00,10.00,8.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.13
N/A,f,2,28806,Entire home/apt,1,3,3,Real Bed,64.00,225.00,45.00,2.00,15.00,3,0,59,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.11
100%,t,1,28804,Entire home/apt,1,2,2,Real Bed,95.00,0.00,20.00,1.00,0.00,3,17,26,95.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.72
100%,t,3,28801,Private room,1,2,1,Real Bed,135.00,100.00,25.00,2.00,95.00,1,6,24,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.7
100%,t,1,28806,Private room,1,4,2,Real Bed,99.00,,,1.00,0.00,2,19,53,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.96
N/A,f,1,28805,Private room,1,2,1,Real Bed,70.00,0.00,15.00,1.00,0.00,1,0,25,95.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.64
100%,t,1,28806,Entire home/apt,1,2,1,Real Bed,65.00,100.00,35.00,2.00,0.00,1,15,141,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,10.63
100%,t,4,28804,Private room,1,2,1,Real Bed,52.00,,,1.00,0.00,1,13,67,95.00,9.00,9.00,10.00,10.00,10.00,10.00,flexible,4.44
100%,t,1,28806,Private room,1,2,1,Real Bed,65.00,200.00,10.00,1.00,0.00,2,20,47,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.22
100%,t,1,28806,Private room,1,2,1,Real Bed,47.00,0.00,20.00,1.00,0.00,1,16,60,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.92
N/A,f,1,28806,Entire home/apt,1,3,2,Real Bed,120.00,0.00,40.00,4.00,20.00,1,10,75,99.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,4.9
100%,f,1,28801,Entire home/apt,1,4,2,Real Bed,62.00,125.00,45.00,2.00,0.00,30,10,52,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.44
100%,t,2,28803,Entire home/apt,1,2,1,Real Bed,120.00,0.00,25.00,1.00,0.00,1,8,23,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.53
N/A,t,1,28805,Entire home/apt,1,4,2,Real Bed,49.00,0.00,35.00,2.00,20.00,1,9,95,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,6.31
N/A,t,1,28806,Entire home/apt,3.5,12,7,Real Bed,355.00,500.00,175.00,6.00,35.00,1,13,35,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,2.34
N/A,f,1,28806,Entire home/apt,0,6,1,Real Bed,50.00,,,1.00,0.00,1,0,0,,,,,,,,flexible,
100%,t,1,28806,Private room,1,2,1,Real Bed,51.00,0.00,17.00,2.00,25.00,1,18,54,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.64
N/A,f,3,28801,Private room,1,1,1,Real Bed,58.00,0.00,20.00,1.00,0.00,2,15,20,97.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.35
N/A,f,173,28704,Entire home/apt,1.5,8,4,Real Bed,185.00,0.00,91.00,8.00,0.00,2,19,4,80.00,8.00,9.00,10.00,10.00,7.00,8.00,strict_14_with_grace_period,0.34
100%,t,1,28801,Entire home/apt,1,4,2,Real Bed,125.00,0.00,35.00,1.00,0.00,1,11,38,99.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,4.16
N/A,f,1,28806,Entire home/apt,2,9,5,Real Bed,150.00,0.00,85.00,1.00,0.00,3,0,5,96.00,10.00,9.00,10.00,10.00,10.00,10.00,flexible,0.33
N/A,t,1,28805,Private room,1,2,1,Real Bed,72.00,,20.00,2.00,0.00,1,19,59,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.04
N/A,t,2,28801,Private room,1,6,4,Real Bed,55.00,100.00,50.00,2.00,35.00,2,10,30,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.02
N/A,t,1,28803,Entire home/apt,1,2,1,Real Bed,89.00,0.00,20.00,1.00,0.00,2,1,72,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.86
N/A,t,1,28801,Private room,1,2,1,Real Bed,93.00,0.00,20.00,1.00,0.00,2,15,47,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.33
