host_response_rate,host_is_superhost,host_listings_count,zipcode,room_type,bathrooms,accommodates,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month
N/A,f,1,28704,Entire home/apt,2.5,8,4,Real Bed,250.00,,50.00,1.00,0.00,2,5,5,96.00,10.00,8.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.13
94%,t,3,28801,Entire home/apt,1,4,1,Real Bed,110.00,100.00,75.00,2.00,20.00,3,12,207,96.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.26
N/A,t,1,28801,Private room,1.5,5,3,Real Bed,85.00,200.00,40.00,2.00,25.00,2,11,97,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.94
100%,t,12,28801,Entire home/apt,2,12,6,Real Bed,765.00,300.00,0.00,2.00,25.00,1,21,49,96.00,10.00,10.00,10.00,10.00,10.00,9.00,super_strict_60,0.77
100%,t,12,28801,Entire home/apt,1,6,3,Real Bed,331.00,200.00,0.00,2.00,25.00,1,24,72,94.00,10.00,10.00,10.00,10.00,10.00,9.00,super_strict_60,1.29
80%,f,1,28704,Private room,1,2,1,Real Bed,95.00,150.00,,2.00,25.00,3,27,11,93.00,9.00,10.00,10.00,9.00,10.00,10.00,strict_14_with_grace_period,0.23
100%,t,12,28801,Entire home/apt,12,16,16,Real Bed,"2,222.00",,,6.00,25.00,1,28,28,98.00,10.00,10.00,10.00,10.00,10.00,9.00,super_strict_60,0.51
100%,f,3,28805,Entire home/apt,1,3,2,Real Bed,57.00,0.00,20.00,1.00,10.00,2,0,103,93.00,10.00,9.00,10.00,10.00,10.00,9.00,moderate,1.62
100%,f,1,28805,Entire home/apt,1,3,1,Futon,70.00,100.00,50.00,1.00,0.00,3,0,69,95.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.07
N/A,t,1,28806,Private room,1.5,2,1,Futon,75.00,,,1.00,0.00,1,10,369,96.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,7.73
N/A,t,2,28806,Entire home/apt,1,3,1,Real Bed,90.00,100.00,35.00,2.00,20.00,2,2,374,94.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.95
N/A,t,1,28801,Private room,1,2,1,Real Bed,88.00,100.00,0.00,2.00,10.00,1,8,283,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.43
N/A,f,1,28804,Entire home/apt,1,2,1,Real Bed,96.00,600.00,59.00,1.00,0.00,2,11,7,97.00,10.00,10.00,10.00,10.00,9.00,9.00,moderate,2.92
100%,t,1,28704,Private room,1,2,1,Real Bed,80.00,,10.00,2.00,45.00,1,21,57,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.94
100%,t,1,28806,Entire home/apt,1,4,1,Real Bed,175.00,250.00,50.00,2.00,10.00,3,18,109,98.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,1.75
N/A,t,1,28803,Entire home/apt,1,2,1,Real Bed,110.00,200.00,50.00,2.00,25.00,2,6,111,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.75
N/A,t,1,28801,Private room,1,2,1,Real Bed,118.00,,15.00,2.00,0.00,2,16,183,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.9
86%,t,2,28804,Entire home/apt,1.5,5,3,Real Bed,144.00,350.00,150.00,5.00,50.00,30,0,22,100.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,0.36
100%,t,1,28806,Private room,1,2,1,Real Bed,90.00,100.00,35.00,1.00,0.00,2,2,140,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,2.22
N/A,t,1,28801,Entire home/apt,1,2,1,Real Bed,192.00,100.00,75.00,2.00,25.00,2,22,219,98.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,3.52
N/A,f,1,28804,Private room,1,2,1,Futon,70.00,100.00,25.00,1.00,10.00,30,2,39,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.63
100%,t,1,28803,Entire home/apt,1,2,1,Real Bed,75.00,100.00,40.00,2.00,10.00,2,14,57,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.53
N/A,f,2,28801,Private room,1,2,1,Real Bed,150.00,0.00,0.00,2.00,0.00,2,8,1,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.03
N/A,t,1,28803,Private room,1,2,1,Real Bed,44.00,400.00,20.00,2.00,0.00,1,17,207,96.00,10.00,9.00,10.00,10.00,9.00,9.00,strict_14_with_grace_period,3.37
94%,t,3,28801,Entire home/apt,1,2,1,Real Bed,89.00,100.00,60.00,2.00,0.00,3,9,175,94.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,2.81
100%,t,1,28801,Private room,1,2,1,Real Bed,80.00,0.00,15.00,1.00,0.00,2,15,174,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.83
100%,t,2,28805,Entire home/apt,2.5,10,5,Real Bed,275.00,250.00,95.00,6.00,15.00,3,7,77,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.26
100%,t,2,28801,Private room,1,2,1,Real Bed,55.00,0.00,20.00,1.00,10.00,1,8,266,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,4.33
100%,f,2,28801,Entire home/apt,1,4,2,Real Bed,60.00,0.00,0.00,2.00,0.00,30,12,44,93.00,9.00,9.00,10.00,10.00,10.00,9.00,moderate,0.83
100%,t,3,28801,Entire home/apt,1,2,2,Real Bed,99.00,300.00,75.00,2.00,25.00,29,0,53,96.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.87
N/A,t,2,28806,Entire home/apt,1,2,1,Real Bed,87.00,,22.00,1.00,0.00,2,17,266,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.41
100%,t,1,28804,Private room,1,2,1,Real Bed,79.00,0.00,10.00,2.00,40.00,2,19,87,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,2.05
100%,t,7,28801,Private room,2,2,1,Real Bed,89.00,220.00,16.00,1.00,0.00,1,16,328,94.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,5.73
N/A,t,1,28804,Entire home/apt,2,6,2,Real Bed,216.00,250.00,125.00,4.00,30.00,2,19,67,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.15
100%,f,1,28804,Entire home/apt,1,4,1,Real Bed,60.00,,60.00,1.00,0.00,30,5,91,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.53
100%,f,1,28806,Private room,3,1,1,Real Bed,28.00,,25.00,1.00,0.00,7,8,54,95.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.99
100%,t,2,28806,Entire home/apt,1,2,1,Real Bed,109.00,100.00,10.00,1.00,0.00,2,9,297,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.65
100%,f,1,28804,Entire home/apt,2,6,5,Real Bed,150.00,200.00,110.00,4.00,30.00,28,25,118,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.98
100%,t,1,28806,Private room,1,2,1,Real Bed,48.00,,10.00,1.00,0.00,1,10,50,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,8.67
100%,t,1,28801,Entire home/apt,1,4,2,Real Bed,88.00,250.00,30.00,2.00,10.00,2,18,149,95.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,2.53
100%,t,2,28806,Entire home/apt,1,2,1,Real Bed,99.00,100.00,10.00,1.00,0.00,2,6,433,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,7.39
100%,t,1,28804,Entire home/apt,1,3,2,Real Bed,89.00,300.00,15.00,2.00,0.00,2,19,210,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.7
100%,f,4,28801,Entire home/apt,2,7,4,Real Bed,165.00,,75.00,2.00,40.00,2,11,227,99.00,10.00,10.00,10.00,10.00,9.00,10.00,strict_14_with_grace_period,3.88
N/A,t,2,28806,Private room,1,2,1,Real Bed,60.00,0.00,10.00,1.00,5.00,1,2,100,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.99
100%,f,2,28801,Entire home/apt,1,4,2,Real Bed,130.00,,100.00,1.00,0.00,30,10,102,98.00,10.00,10.00,10.00,10.00,9.00,9.00,strict_14_with_grace_period,1.8
100%,t,1,28801,Entire home/apt,1,5,2,Real Bed,120.00,100.00,50.00,1.00,20.00,30,15,161,93.00,9.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,2.86
100%,f,1,28806,Entire home/apt,1,2,1,Real Bed,53.00,500.00,75.00,2.00,25.00,29,15,201,98.00,10.00,10.00,10.00,10.00,9.00,10.00,strict_14_with_grace_period,3.54
100%,f,1,28801,Entire home/apt,1,6,3,Real Bed,199.00,150.00,75.00,5.00,25.00,3,21,112,91.00,9.00,9.00,10.00,10.00,10.00,9.00,moderate,2.06
N/A,t,10,28805,Private room,1,2,1,Real Bed,49.00,100.00,50.00,1.00,0.00,1,21,210,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.76
100%,t,2,28801,Entire home/apt,1,2,1,Real Bed,85.00,100.00,,1.00,0.00,2,11,134,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.11
N/A,f,1,28806,Private room,1,2,1,Real Bed,50.00,0.00,25.00,1.00,15.00,1,0,29,94.00,10.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,0.51
N/A,t,3,28801,Private room,1,2,1,Real Bed,78.00,0.00,0.00,2.00,0.00,1,17,362,96.00,10.00,9.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,6.4
